year,PAX,IAA,Fri_ab,Fri_almost,Cur
1988,1124149,85.72,12.2,38.7,570.56
1989,1379523,90.21,7.6,33.1,487.51
1990,1460291,94.39,9.6,33.1,491.58
1991,1455090,96.98,10.7,32.4,545.95
1992,1398604,95.43,8.5,34.4,617.08
1993,1492069,95.59,8.9,34.5,725.67
1994,1644097,96.64,7.9,34,787.91
1995,1667203,97.99,7.6,34.6,824.45
1996,1526559,100.19,6.6,29.2,739.59
1997,1676434,101.17,6.2,32.7,784.02
1998,1954416,99.11,10.9,36.9,1074.41
1999,2184121,99.68,12.8,35.5,1048.64
2000,2472054,101.4,14.8,36.6,1048.92
2001,2377321,100.84,11.9,28.4,1062.41
2002,2320837,100.38,13.5,40.5,999.57
2003,1802542,101.27,13.7,41.3,1029.76
2004,2443070,102.92,9,46.5,1058.76
2005,2440139,104.62,12.5,38.7,930.66
2006,2338921,106.57,12.3,35.9,821.49
2007,2235963,107.51,14.9,39.9,789.75
2008,2378102,105.55,13.3,43.8,1076.63
2009,3053311,96.59,21.7,41.4,1363.13
2010,3023009,100.06,19,42.8,1320.56
2011,3289051,99.28,20.3,41.9,1391.31
2012,3518792,100.75,9.7,29.4,1413.14
2013,2747750,101.98,8.4,32.3,1123.41
2014,2280434,102.18,6.9,24.6,996.19
2015,1837782,102.48,6,27,934.56
2016,2297893,102.98,9.1,29,1068.17
2017,2311447,104.79,8.3,29.3,1008.52
